epoch,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.8122448921203613,0.8029977679252625,0.40586087107658386,0.8445945978164673,0.7653061151504517,0.9023809432983398,0.9057470560073853,0.2812390625476837,0.8755555748939514,0.938095211982727
1,0.8806122541427612,0.8744634389877319,0.2816459536552429,0.9219456911087036,0.831632673740387,0.8619047403335571,0.8397789597511292,0.28526565432548523,1.0,0.723809540271759
2,0.8943877816200256,0.8894820809364319,0.25884655117988586,0.9328107237815857,0.8500000238418579,0.9285714030265808,0.9246230125427246,0.181010439991951,0.978723406791687,0.8761904835700989
3,0.8999999761581421,0.8952990770339966,0.2502645254135132,0.939461886882782,0.8551020622253418,0.9285714030265808,0.924242377281189,0.1738380789756775,0.9838709831237793,0.8714285492897034
4,0.9117347002029419,0.9086105823516846,0.22853277623653412,0.9419496059417725,0.8775510191917419,0.9285714030265808,0.924242377281189,0.16616705060005188,0.9838709831237793,0.8714285492897034
5,0.9061224460601807,0.902953565120697,0.22806105017662048,0.9344978332519531,0.8734694123268127,0.8904761672019958,0.8776594400405884,0.2239399254322052,0.9939758777618408,0.7857142686843872
6,0.9132652878761292,0.9109947085380554,0.22297772765159607,0.9354838728904724,0.8877550959587097,0.8952381014823914,0.8829786777496338,0.23947635293006897,1.0,0.7904762029647827
7,0.9188775420188904,0.916447639465332,0.19744735956192017,0.9447454214096069,0.8897958993911743,0.949999988079071,0.9486551880836487,0.1448708176612854,0.9748743772506714,0.9238095283508301
8,0.9255102276802063,0.923076868057251,0.1855395883321762,0.9542483687400818,0.8938775658607483,0.9523809552192688,0.9516907930374146,0.13717779517173767,0.9656862616539001,0.938095211982727
9,0.922448992729187,0.9205020070075989,0.20389164984226227,0.9442059993743896,0.8979591727256775,0.9309523701667786,0.9262085556983948,0.1708844006061554,0.994535505771637,0.8666666746139526
10,0.9163265228271484,0.9140461087226868,0.20547308027744293,0.9396551847457886,0.8897958993911743,0.9452381134033203,0.9463868737220764,0.16153211891651154,0.9269406199455261,0.9666666388511658
11,0.922448992729187,0.9203353524208069,0.20332945883274078,0.9461206793785095,0.8959183692932129,0.8761904835700989,0.8586956262588501,0.2644469738006592,1.0,0.7523809671401978
12,0.9295918345451355,0.9273683428764343,0.17881879210472107,0.957608699798584,0.8989796042442322,0.949999988079071,0.9489049911499023,0.13135699927806854,0.9701492786407471,0.9285714030265808
13,0.9290816187858582,0.9274150729179382,0.17480267584323883,0.9497326016426086,0.9061224460601807,0.9452381134033203,0.9432098269462585,0.14348547160625458,0.9794871807098389,0.9095237851142883
14,0.9331632852554321,0.931377649307251,0.17463992536067963,0.9569429755210876,0.9071428775787354,0.9309523701667786,0.9262085556983948,0.17124424874782562,0.994535505771637,0.8666666746139526
15,0.9295918345451355,0.9275209307670593,0.1798129677772522,0.9556276798248291,0.9010204076766968,0.9166666865348816,0.9104859232902527,0.1845969408750534,0.9834254384040833,0.8476190567016602
16,0.9326530694961548,0.9308175444602966,0.1870778352022171,0.9568965435028076,0.9061224460601807,0.9261904954910278,0.9211195111274719,0.17051538825035095,0.9890710115432739,0.8619047403335571
17,0.9316326379776001,0.9302082657814026,0.1771153211593628,0.949999988079071,0.9112244844436646,0.9428571462631226,0.9408866167068481,0.13981421291828156,0.9744898080825806,0.9095237851142883
18,0.9346938729286194,0.933124303817749,0.1675540804862976,0.9561027884483337,0.9112244844436646,0.9238095283508301,0.9179486036300659,0.18857765197753906,0.9944444298744202,0.8523809313774109
19,0.9285714030265808,0.9269310235977173,0.1732679307460785,0.9487179517745972,0.9061224460601807,0.9309523701667786,0.9265822172164917,0.16293847560882568,0.9891892075538635,0.8714285492897034
20,0.9214285612106323,0.919202446937561,0.19391870498657227,0.946004331111908,0.8938775658607483,0.949999988079071,0.9489049911499023,0.1296072155237198,0.9701492786407471,0.9285714030265808
21,0.9301020503044128,0.927932620048523,0.17696340382099152,0.9576547145843506,0.8999999761581421,0.8642857074737549,0.8789808750152588,0.32526811957359314,0.7931034564971924,0.9857142567634583
22,0.918367326259613,0.9164926409721375,0.20836618542671204,0.938034176826477,0.8959183692932129,0.9285714030265808,0.9238578677177429,0.16900674998760223,0.989130437374115,0.8666666746139526
23,0.9326530694961548,0.931106448173523,0.170136496424675,0.9529914259910583,0.9102040529251099,0.9285714030265808,0.9238578677177429,0.1648891568183899,0.989130437374115,0.8666666746139526
