epoch,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.7719388008117676,0.7590296268463135,0.46096938848495483,0.8045714497566223,0.718367338180542,0.8404762148857117,0.818428099155426,0.352477490901947,0.9496855139732361,0.7190476059913635
1,0.8377550840377808,0.8264191746711731,0.37294021248817444,0.8884976506233215,0.7724489569664001,0.8690476417541504,0.8628427982330322,0.3227294087409973,0.9057591557502747,0.8238095045089722
2,0.8367347121238708,0.8274001479148865,0.37378180027008057,0.8775743842124939,0.7826530337333679,0.8190476298332214,0.7828570604324341,0.4330223798751831,0.9785714149475098,0.6523809432983398
3,0.8183673620223999,0.80839604139328,0.3860795497894287,0.855353057384491,0.7663265466690063,0.8666666746139526,0.8518518209457397,0.31502753496170044,0.9583333134651184,0.7666666507720947
4,0.8224489688873291,0.8110748529434204,0.37162354588508606,0.8665893077850342,0.7622448801994324,0.8714285492897034,0.8578946590423584,0.3016364574432373,0.9588235020637512,0.776190459728241
5,0.8392857313156128,0.8281505703926086,0.3520824909210205,0.8898007273674011,0.7744898200035095,0.8833333253860474,0.8765741586685181,0.2974208891391754,0.9304812550544739,0.8285714387893677
6,0.8540816307067871,0.845905065536499,0.3487287759780884,0.896118700504303,0.8010203838348389,0.8500000238418579,0.8273972272872925,0.34384870529174805,0.9741935729980469,0.7190476059913635
7,0.8428571224212646,0.8324264883995056,0.3502863347530365,0.8916084170341492,0.7806122303009033,0.8476190567016602,0.8241757750511169,0.36159518361091614,0.9740259647369385,0.7142857313156128
8,0.8500000238418579,0.8386388421058655,0.3409976065158844,0.9073634147644043,0.7795918583869934,0.8738095164299011,0.8601582050323486,0.2947115898132324,0.9644970297813416,0.776190459728241
9,0.8663265109062195,0.8566738963127136,0.3207719624042511,0.9233490824699402,0.7989795804023743,0.8761904835700989,0.8773584365844727,0.3154149651527405,0.8691588640213013,0.8857142925262451
10,0.8637754917144775,0.8552844524383545,0.32593512535095215,0.9121387004852295,0.8051020503044128,0.8857142925262451,0.8749999403953552,0.2794378697872162,0.9655172228813171,0.800000011920929
11,0.8683673739433289,0.8608413338661194,0.3139355480670929,0.9130434989929199,0.8142856955528259,0.8738095164299011,0.8601582050323486,0.29782211780548096,0.9644970297813416,0.776190459728241
12,0.8459183573722839,0.8356908559799194,0.33222121000289917,0.8951048851013184,0.7836734652519226,0.8785714507102966,0.866840660572052,0.2846614420413971,0.9595375657081604,0.7904762029647827
13,0.856632649898529,0.8478612899780273,0.3214532434940338,0.9031141996383667,0.7989795804023743,0.8785714507102966,0.870885968208313,0.27781590819358826,0.929729700088501,0.8190476298332214
14,0.8617346882820129,0.8515068292617798,0.317549467086792,0.9195266366004944,0.7928571701049805,0.8690476417541504,0.8517519235610962,0.3148704171180725,0.9813664555549622,0.7523809671401978
15,0.8668367266654968,0.8585365414619446,0.31936025619506836,0.9156069159507751,0.8081632852554321,0.8809523582458496,0.8691098690032959,0.2768918573856354,0.9651162624359131,0.7904762029647827
16,0.859183669090271,0.8495091795921326,0.309322327375412,0.9121779799461365,0.7948979735374451,0.8809523582458496,0.8697916269302368,0.2726115584373474,0.959770143032074,0.7952380776405334
17,0.8551020622253418,0.8456521034240723,0.3152715563774109,0.9046511650085449,0.7938775420188904,0.8976190686225891,0.8900254964828491,0.2708933353424072,0.9613259434700012,0.8285714387893677
18,0.8698979616165161,0.8631239533424377,0.3136346936225891,0.9105322957038879,0.8204081654548645,0.8642857074737549,0.8455284237861633,0.34773340821266174,0.9811320900917053,0.7428571581840515
19,0.8673469424247742,0.8591548204421997,0.3052854537963867,0.9157043695449829,0.809183657169342,0.8761904835700989,0.8624337911605835,0.3010394275188446,0.9702380895614624,0.776190459728241
20,0.8693877458572388,0.8614718317985535,0.31493592262268066,0.9170507192611694,0.8122448921203613,0.8761904835700989,0.8631578087806702,0.2764545679092407,0.9647058844566345,0.7809523940086365
21,0.8719387650489807,0.8654155135154724,0.29746535420417786,0.9118643999099731,0.8234694004058838,0.8809523582458496,0.8691098690032959,0.27685949206352234,0.9651162624359131,0.7904762029647827
22,0.875,0.8674958944320679,0.30667242407798767,0.9228999018669128,0.8183673620223999,0.8714285492897034,0.8563829064369202,0.29583311080932617,0.9698795080184937,0.7666666507720947
23,0.8642857074737549,0.8557482957839966,0.30609363317489624,0.9131944179534912,0.8051020503044128,0.8928571343421936,0.8936169147491455,0.2910396456718445,0.8873239159584045,0.8999999761581421
24,0.8709183931350708,0.8636118769645691,0.29943981766700745,0.9154285788536072,0.8173469305038452,0.8809523582458496,0.8691098690032959,0.2743319272994995,0.9651162624359131,0.7904762029647827
25,0.8780612349510193,0.8700379729270935,0.30110812187194824,0.9313154816627502,0.8163265585899353,0.8714285492897034,0.8571428060531616,0.295934796333313,0.9642857313156128,0.7714285850524902
26,0.8693877458572388,0.861020565032959,0.31133368611335754,0.9199535846710205,0.809183657169342,0.8785714507102966,0.8661416172981262,0.27449262142181396,0.9649122953414917,0.7857142686843872
