epoch,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.7744898200035095,0.7621097564697266,0.45529618859291077,0.8063781261444092,0.722449004650116,0.8714285492897034,0.8720378279685974,0.35703954100608826,0.8679245114326477,0.8761904835700989
1,0.8576530814170837,0.8507221937179565,0.32599353790283203,0.8942632079124451,0.8112244606018066,0.8714285492897034,0.8615384101867676,0.2840059697628021,0.9333333373069763,0.800000011920929
2,0.8545918464660645,0.8465266227722168,0.32527005672454834,0.8962371945381165,0.8020408153533936,0.8833333253860474,0.8765741586685181,0.2762411832809448,0.9304812550544739,0.8285714387893677
3,0.8658163547515869,0.8583737015724182,0.32422295212745667,0.9087799191474915,0.813265323638916,0.8357142806053162,0.8067227005958557,0.35265862941741943,0.9795918464660645,0.6857143044471741
4,0.8755102157592773,0.8682504892349243,0.2993849515914917,0.9220183491706848,0.8204081654548645,0.8595238327980042,0.8426666855812073,0.2952060401439667,0.9575757384300232,0.7523809671401978
5,0.8841836452484131,0.8784144520759583,0.2813427448272705,0.9244644641876221,0.8367347121238708,0.8452380895614624,0.8219177722930908,0.32288095355033875,0.9677419066429138,0.7142857313156128
6,0.8734694123268127,0.867944598197937,0.2910068929195404,0.9075723886489868,0.831632673740387,0.8666666746139526,0.8510637879371643,0.282414972782135,0.9638554453849792,0.761904776096344
7,0.8816326260566711,0.876595675945282,0.28197434544563293,0.9155555367469788,0.8408163189888,0.8666666746139526,0.8518518209457397,0.2778490483760834,0.9583333134651184,0.7666666507720947
8,0.8877550959587097,0.8814653754234314,0.2780055105686188,0.9337899684906006,0.8346938490867615,0.8595238327980042,0.8409702777862549,0.29889625310897827,0.9689440727233887,0.7428571581840515
9,0.8755102157592773,0.8706256151199341,0.2842966914176941,0.9061810374259949,0.8377550840377808,0.8833333253860474,0.8771929144859314,0.26510292291641235,0.9259259104728699,0.8333333134651184
10,0.8821428418159485,0.8766683340072632,0.283564031124115,0.9193729162216187,0.8377550840377808,0.8714285492897034,0.8593748807907104,0.2749296724796295,0.9482758641242981,0.7857142686843872
11,0.8821428418159485,0.8764044046401978,0.2796064615249634,0.9212598204612732,0.8357142806053162,0.8666666746139526,0.8526315689086914,0.2844303250312805,0.9529411792755127,0.7714285850524902
12,0.8831632733345032,0.8781265616416931,0.2792287766933441,0.9176863431930542,0.8418367505073547,0.8738095164299011,0.8630490303039551,0.26701033115386963,0.9435028433799744,0.7952380776405334
13,0.8760204315185547,0.8712241053581238,0.26935309171676636,0.9062844514846802,0.8387755155563354,0.8476190567016602,0.8241757750511169,0.33783507347106934,0.9740259647369385,0.7142857313156128
14,0.8841836452484131,0.8786744475364685,0.2778852880001068,0.9225589036941528,0.8387755155563354,0.8571428656578064,0.8378377556800842,0.3105317950248718,0.96875,0.738095223903656
15,0.8821428418159485,0.8769311904907227,0.2617047429084778,0.917502760887146,0.8397959470748901,0.8619047403335571,0.8432431817054749,0.31116077303886414,0.9750000238418579,0.7428571581840515
16,0.8887755274772644,0.884042501449585,0.27136772871017456,0.9233333468437195,0.8479591608047485,0.8357142806053162,0.8067227005958557,0.40440183877944946,0.9795918464660645,0.6857143044471741
17,0.8903061151504517,0.8844707012176514,0.26384469866752625,0.9341657161712646,0.8397959470748901,0.8619047403335571,0.8432431817054749,0.30540981888771057,0.9750000238418579,0.7428571581840515
18,0.8882653117179871,0.8826994895935059,0.26882025599479675,0.9289740920066833,0.8408163189888,0.8809523582458496,0.8724488615989685,0.27197012305259705,0.9395604133605957,0.8142856955528259
19,0.8811224699020386,0.8767847418785095,0.28085944056510925,0.9099889993667603,0.8459183573722839,0.8738095164299011,0.862337589263916,0.270382285118103,0.9485714435577393,0.7904762029647827
20,0.8872448801994324,0.882007360458374,0.2669050395488739,0.9249719977378845,0.8428571224212646,0.8547618985176086,0.8346882462501526,0.3113267123699188,0.9685534834861755,0.7333333492279053
