epoch,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.7979592084884644,0.7864077687263489,0.42452558875083923,0.8340961337089539,0.7438775300979614,0.8523809313774109,0.8306010365486145,0.3438701033592224,0.9743589758872986,0.723809540271759
1,0.8760204315185547,0.8701228499412537,0.290096253156662,0.9135802388191223,0.8306122422218323,0.8642857074737549,0.870159387588501,0.3142642378807068,0.8340611457824707,0.9095237851142883
2,0.8607142567634583,0.8559365272521973,0.32610806822776794,0.8863387703895569,0.827551007270813,0.8523809313774109,0.8342245221138,0.31127846240997314,0.9512194991111755,0.7428571581840515
3,0.8607142567634583,0.8537760376930237,0.31637847423553467,0.89853435754776,0.813265323638916,0.8666666746139526,0.8727272152900696,0.31853994727134705,0.834782600402832,0.9142857193946838
4,0.8765305876731873,0.8705881834030151,0.2842625081539154,0.9146067500114441,0.8306122422218323,0.8523809313774109,0.8368420004844666,0.3004193902015686,0.9352940917015076,0.7571428418159485
5,0.8765305876731873,0.8722280263900757,0.27485033869743347,0.9037199020385742,0.8428571224212646,0.8404762148857117,0.8154270052909851,0.41898632049560547,0.9673202633857727,0.7047619223594666
6,0.8795918226242065,0.8744680285453796,0.2690202593803406,0.9133333563804626,0.8387755155563354,0.8523809313774109,0.8315216302871704,0.3491195738315582,0.9683544039726257,0.7285714149475098
7,0.8852040767669678,0.880763053894043,0.27088192105293274,0.9162072539329529,0.8479591608047485,0.8547618985176086,0.8373332619667053,0.3129095435142517,0.9515151381492615,0.7476190328598022
8,0.8790816068649292,0.8737345933914185,0.276937872171402,0.914158284664154,0.8367347121238708,0.8523809313774109,0.8306010365486145,0.3623228967189789,0.9743589758872986,0.723809540271759
9,0.8923469185829163,0.8888888359069824,0.25148433446884155,0.9183895587921143,0.8612244725227356,0.8523809313774109,0.8315216302871704,0.36411547660827637,0.9683544039726257,0.7285714149475098
10,0.8836734890937805,0.878980815410614,0.28036433458328247,0.9159291982650757,0.844897985458374,0.8452380895614624,0.8219177722930908,0.3663918673992157,0.9677419066429138,0.7142857313156128
11,0.8816326260566711,0.8769882917404175,0.2692987024784088,0.9128035306930542,0.8438775539398193,0.8595238327980042,0.8451442718505859,0.2846435606479645,0.9415204524993896,0.7666666507720947
12,0.8887755274772644,0.8835469484329224,0.2571018636226654,0.9271300435066223,0.8438775539398193,0.8500000238418579,0.829268217086792,0.3475041389465332,0.9622641801834106,0.7285714149475098
13,0.8918367624282837,0.8875927329063416,0.25377342104911804,0.9238410592079163,0.8540816307067871,0.8380952477455139,0.8089887499809265,0.4388749897480011,0.9863013625144958,0.6857143044471741
14,0.8903061151504517,0.8859415650367737,0.26068276166915894,0.9226519465446472,0.8520408272743225,0.8523809313774109,0.8315216302871704,0.3439980745315552,0.9683544039726257,0.7285714149475098
