epoch,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.8209183812141418,0.8103727102279663,0.39110660552978516,0.861079216003418,0.7653061151504517,0.8500000238418579,0.829268217086792,0.32351911067962646,0.9622641801834106,0.7285714149475098
1,0.8459183573722839,0.8356908559799194,0.33626219630241394,0.8951048851013184,0.7836734652519226,0.8785714507102966,0.872817873954773,0.2835786044597626,0.9162303805351257,0.8333333134651184
2,0.8668367266654968,0.858383059501648,0.3238420784473419,0.9165701270103455,0.8071428537368774,0.8523809313774109,0.8315216302871704,0.3198789358139038,0.9683544039726257,0.7285714149475098
3,0.8678571581840515,0.8590092658996582,0.31064343452453613,0.9206534624099731,0.8051020503044128,0.8857142925262451,0.8862558603286743,0.3032384514808655,0.8820754885673523,0.8904761672019958
4,0.8688775300979614,0.8599454760551453,0.3156422972679138,0.9228070378303528,0.8051020503044128,0.8738095164299011,0.8616187572479248,0.28335464000701904,0.9537572264671326,0.7857142686843872
5,0.8729591965675354,0.8657681345939636,0.30679914355278015,0.9177142977714539,0.8193877339363098,0.8714285492897034,0.8593748807907104,0.277511864900589,0.9482758641242981,0.7857142686843872
6,0.8744897842407227,0.8678838610649109,0.29873478412628174,0.9160997867584229,0.8244897723197937,0.8523809313774109,0.8277776837348938,0.39516037702560425,0.9933333396911621,0.7095237970352173
7,0.8775510191917419,0.8698480725288391,0.28560787439346313,0.9282407164573669,0.8183673620223999,0.8857142925262451,0.8775509595870972,0.26455238461494446,0.9450549483299255,0.8190476298332214
8,0.8816326260566711,0.874594509601593,0.28285881876945496,0.9298850297927856,0.8255102038383484,0.8976190686225891,0.8927680253982544,0.26410147547721863,0.9371727705001831,0.8523809313774109
9,0.8780612349510193,0.870460569858551,0.28658533096313477,0.9283236861228943,0.8193877339363098,0.8547618985176086,0.8328767418861389,0.3566051423549652,0.9806451797485352,0.723809540271759
10,0.8811224699020386,0.8734382390975952,0.2897067964076996,0.9337978959083557,0.8204081654548645,0.8857142925262451,0.8775509595870972,0.2629832923412323,0.9450549483299255,0.8190476298332214
11,0.8806122541427612,0.8737863898277283,0.3007049858570099,0.9267734289169312,0.8265306353569031,0.8738095164299011,0.8803611397743225,0.3314736485481262,0.8369098901748657,0.9285714030265808
12,0.886734664440155,0.8805166482925415,0.28346189856529236,0.9316628575325012,0.8346938490867615,0.8976190686225891,0.8916875720024109,0.259360134601593,0.9465240836143494,0.8428571224212646
13,0.8785714507102966,0.8706520795822144,0.2844811677932739,0.9313953518867493,0.8173469305038452,0.8714285492897034,0.8563829064369202,0.30217283964157104,0.9698795080184937,0.7666666507720947
