,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9489033351773801,0.9481383069701816,0.12474873176087505,0.9600290992985601,0.936626549648202,0.9317546590514805,0.9331134376318558,0.16239828745956006,0.9296968501547108,0.9409937871539075
1,0.9464285679352589,0.9455526012640733,0.13066572352097586,0.9583597137377813,0.933195968468984,0.9256410262523553,0.9262711084806002,0.18201635625117865,0.9277319526061033,0.9287545757415967
2,0.9397693425416946,0.9386602615316709,0.1447562895094355,0.9536391273140907,0.9242931579550108,0.9232142840822538,0.920554960767428,0.21168913319706917,0.9493790542085966,0.8964285676678022
3,0.9492559515767627,0.9484470585982004,0.12400955520570278,0.9612275908390681,0.9361111124356588,0.9162698470883899,0.9161500268512301,0.22257382505469853,0.9211061365074582,0.9174603190686967
4,0.9431547579311189,0.942043009258452,0.14063147739285514,0.9576720623742967,0.9270833361716497,0.8947278885614305,0.8960823047728765,0.250277782479922,0.889963360059829,0.9071428633871532
mean,0.9455023910324429,0.9445682475245156,0.13296235547796886,0.9581855187127595,0.9314620249359011,0.9183215410071821,0.918434367700798,0.2057910768884857,0.9235754707073396,0.9181560226038312
