,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9493122664657799,0.9482782032038715,0.13278155653057871,0.9625631409722406,0.9346525169707633,0.9103281820142591,0.9113987249297064,0.20855591989852287,0.9172957620105228,0.9104247093200684
1,0.944349152477164,0.9431865011390886,0.14225311557713308,0.9590823713101839,0.9279840196433821,0.9514097728227314,0.9530093936543715,0.1339289516602692,0.936477686229505,0.9721804480803641
2,0.9444459028103772,0.9432700837359709,0.14180769530289314,0.9588379369062536,0.9284138661973617,0.9296218507430133,0.9283797267605277,0.1881434317020809,0.9470911797355203,0.9142857141354505
3,0.945559213035985,0.9443904788870561,0.1376117842369958,0.9604899334280115,0.9290413558483124,0.9490601514515123,0.9471890424427233,0.1455948431240885,0.9669140906710374,0.9327067591642079
4,0.9542729586971049,0.9536225820074276,0.12056650175732009,0.9656332877217507,0.9419642820650217,0.9182944614060071,0.9178338038678072,0.20240501268785827,0.9376217017368395,0.9045189473093772
mean,0.9475878986972823,0.946549569794683,0.13500413068098419,0.961321334067688,0.9324112081449683,0.9317428836875047,0.9315621383310273,0.17572563181456397,0.941080084076685,0.9268233156018937
