,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9346428573131561,0.9335313439369202,0.16076878234744071,0.9487640464305878,0.9188214290142059,0.9275714325904846,0.9286455249786377,0.18531910508871077,0.934731433391571,0.9274285638332367
1,0.9294160217852205,0.9280335210465096,0.17624164231725642,0.9456270353214161,0.9111245145668855,0.906274130215516,0.9098393127724931,0.2113309699941326,0.9146488904953003,0.9142857161728112
2,0.9262581115419214,0.9248177029869773,0.17960588972676883,0.942784149538387,0.9075487012212927,0.9125000021674416,0.9123609662055969,0.22565738721327347,0.9209964546290311,0.9087662317536094
3,0.9293816133781716,0.9279362007423684,0.1741782581364667,0.9469246842243053,0.9097222200146428,0.9208994662320172,0.9202341039975485,0.20377570004374893,0.9293185053048311,0.9142857127719455
4,0.9375482555982229,0.9363362241435695,0.15245807271551443,0.9537372073611697,0.91959459395022,0.8943050181543505,0.8919502045657184,0.28437951690441854,0.9175666248476183,0.873166024684906
mean,0.9314493719233384,0.930130998571269,0.1686505290486894,0.9475674245751732,0.9133622917534494,0.912310009871962,0.9126060225039989,0.22209253584885685,0.9234523817336704,0.9075864498433017
