,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9438076000059804,0.9427396520491569,0.1435235801243013,0.959016167348431,0.9270737363446143,0.9064516155950485,0.9059768376811859,0.2332000078693513,0.9168903885349151,0.9002304077148438
1,0.9298750019073486,0.9283429956436158,0.17366161227226257,0.9478812146186829,0.9096428561210632,0.9505714273452759,0.9507743144035339,0.13245459616184235,0.9485374164581298,0.9545714259147644
2,0.9389583329359691,0.937781830628713,0.14958591709534327,0.9547301987806956,0.921488090356191,0.9258333325386048,0.9247843225797018,0.18941020170847575,0.9499686340490977,0.9045238057772319
3,0.9416781128981174,0.9405872898224072,0.14379186660815507,0.9570425993356949,0.924748168541835,0.9125457864541274,0.9112911102099296,0.21269255112379026,0.9311025647016672,0.8978021954878782
4,0.9454017892479897,0.9444269344210625,0.14013350140303374,0.9602750182151795,0.9291517868638038,0.9095535695552825,0.9107093840837479,0.21701704785227777,0.9097461327910423,0.9173214271664619
mean,0.9399441673990812,0.9387757405129911,0.15013929550061916,0.9557890396597367,0.9224209276455013,0.9209911462976679,0.9207071937916197,0.19695488094314748,0.9312490273069706,0.9148898524122361
