,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9336027986294514,0.9324461125038765,0.16792436165584101,0.9481009148262642,0.9173262522027299,0.882335906093185,0.8853087570216205,0.28387633288228836,0.8977744015487464,0.8866795381984195
1,0.9211231187770241,0.9195617374620939,0.19788149391349993,0.9375293348964892,0.9023026290692782,0.9163533856994227,0.9126850241108945,0.21530235441107498,0.9493841372038189,0.8823308285913969
2,0.9168703022756075,0.9151512353043807,0.20968076429868998,0.9338341669032448,0.8972274472838954,0.9379699292935824,0.9357622265815735,0.16275137662887573,0.9576050356814736,0.9184210425929019
3,0.9302197786477896,0.9287567688868597,0.17800410922903281,0.9466821849346161,0.9115727933553549,0.898901104927063,0.9040981714542096,0.25973689957306934,0.8889086842536926,0.92664834856987
4,0.9382913952524011,0.9372131052342328,0.15945451926778664,0.9526807977394625,0.9222808439623226,0.9040584442290392,0.9058020589026538,0.23726600069891324,0.9068249301476912,0.9105519449168985
mean,0.9280214787164548,0.9266257918782888,0.1825890496729701,0.9437654798600154,0.9101419931747161,0.9079237540484584,0.9087312476141903,0.23178659283884434,0.9200994377670846,0.9049263405738974
