,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9639715618557401,0.9636332657602098,0.09188553249394452,0.9708064088114986,0.9566137569921987,0.9272486722027814,0.9279682547957809,0.18440268161120238,0.9331676849612484,0.9280423279161807
1,0.9664449643115608,0.9660994726784375,0.08637248002448861,0.9737778038394694,0.9586005867743979,0.960641399938233,0.9614109506412428,0.11238259700488071,0.9602188249023593,0.9645772539839452
2,0.9638711767537254,0.9634206933634621,0.09481761923858098,0.9725162110158375,0.9545599456344332,0.9434948946748462,0.9438421236617225,0.1473133641162089,0.9500235915184021,0.9405612221785954
3,0.9569681727367899,0.9564313085182853,0.10772070677384087,0.9664921423663264,0.9466226722883142,0.9510869539302328,0.9523670777030613,0.13334989385760349,0.9370151524958403,0.9714285705400549
4,0.9685459171022688,0.9682491081101554,0.08321843275002071,0.9754458035741533,0.9611989770616803,0.9397959198270526,0.9399087769644601,0.16730731981141225,0.9398920808519636,0.9420408129692077
mean,0.963960358552017,0.96356676968611,0.09280295425617514,0.9718076739214571,0.9555191877502048,0.9444535681146291,0.9450994367532536,0.14895117128026153,0.9440634669459629,0.9493300375175968
