,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9322884303072224,0.9308785537014836,0.16293998354155084,0.9458437173262887,0.9166343173255092,0.9339285687260006,0.9349784993607065,0.16861630490292673,0.9298469216927238,0.9427018606144449
1,0.9370535719394684,0.93610107421875,0.14886128187179565,0.9484930527210236,0.9241071426868439,0.9119999969005584,0.9135480785369873,0.2117157196998596,0.9121780574321747,0.9205714333057403
2,0.9360267865657806,0.9350271356105805,0.15107338190078734,0.9479469072818756,0.9225357151031495,0.9207142794132233,0.9193744850158692,0.20340961068868638,0.9293853712081909,0.9122857129573823
3,0.9346039402179229,0.933265284085885,0.1610887451813771,0.9493957391152015,0.9178571425951444,0.8986263764210236,0.8985101336087936,0.24006981765612578,0.9093819398146409,0.895787544739552
4,0.9236819715726943,0.9217896092505682,0.18375377853711447,0.9407360355059305,0.9038690470513844,0.8950680324009487,0.8977363336653936,0.24514148774601163,0.8819408104533241,0.9193877492632184
mean,0.9327309401206177,0.9314123313734534,0.16154343420652512,0.9464830903900638,0.9170006729524062,0.9120674507723509,0.91282950603755,0.213790588138722,0.9125466201202108,0.9181468601760676
