,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9499273230863172,0.9491779332937196,0.1275406337754671,0.9608196657757426,0.9378945189853047,0.9188538221425788,0.920281266057214,0.19945480379947397,0.9170576708261357,0.9292358756065369
1,0.9405563175678253,0.9393918651800889,0.14807709936912244,0.9541232815155616,0.9252403859908764,0.9203296693471762,0.9199138650527368,0.1957493028961695,0.9338786670794854,0.9126373621133658
2,0.9442551700692428,0.9433085385121798,0.14109559259132334,0.9563798355428796,0.9306860864162445,0.9208646651945616,0.9221263998433163,0.1989774453012567,0.9137173624415147,0.9398496150970459
3,0.9497420681847466,0.9490457508299086,0.12551849625176853,0.9593388848834568,0.9390476213561164,0.9230952368842231,0.9232246994972229,0.19540771047274272,0.9289049625396728,0.9228571388456557
4,0.947181122643607,0.946367621421814,0.13310714023453848,0.9581802776881627,0.9349489756992885,0.9126530647277832,0.914454414163317,0.21480329164436884,0.9059919663837978,0.9277550969805036
mean,0.9463324003103477,0.9454583418475421,0.13506779244444397,0.9577683890811606,0.933563517689566,0.9191592916592646,0.9200001289227615,0.20087851082280234,0.9199101258541214,0.9264670177286216
