,accuracy,f1,loss,precision,recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.9500615802304498,0.9490935823013043,0.12719482877131166,0.9626996476074745,0.9360529595407946,0.9286945832186732,0.9278550086350277,0.191834711309137,0.9443743824958801,0.9150246278993015
1,0.9484523812929789,0.9476161777973175,0.12884970977902413,0.9592037002245585,0.936428564786911,0.9167857110500336,0.9182201484839122,0.21237018009026845,0.9271589497725169,0.9157142798105876
2,0.9480468686670065,0.9471402112394571,0.13058998435735703,0.9605297949165106,0.9342354889959097,0.9497767835855484,0.950321851298213,0.12771595898084342,0.9478008486330509,0.9555803462862968
3,0.9459045036979343,0.9450682116591412,0.1361960551660994,0.9568319864895033,0.9336956532105155,0.9181677077127539,0.9215731543043385,0.21145130564337192,0.8979227102321127,0.9496894426967787
4,0.950138548324848,0.9494142265155397,0.12420434710280649,0.9605500430896364,0.9386083791995871,0.9131773401950968,0.9138155024627159,0.22644125233436452,0.90980798211591,0.9211822686524227
mean,0.9485207764426434,0.9476664819025521,0.12940698503531975,0.9599630344655367,0.9358042091467436,0.9253204251524212,0.9263571330368414,0.19396268167159705,0.9254129746498941,0.9314381930690775
